id,ca,de,en,es,fr,pl,pt
ADD,Afegir,hinzufügen,Add,Añadir,Ajouter,Dodaj,Adicionar
ADVANCED_OPTIONS,Opcions avançades,Erweiterte Optionen,Advanced options,Opciones avanzadas,Options avancées,Opcje zaawansowane,Opções avançadas
ALL_RIGHT_RESERVED,Tots els drets reservats,Alle Rechte vorbehalten,All rights reserved,Todos los derechos reservados,tous droits réservés,Wszelkie prawa zastrzeżone,Todos os direitos reservados
ALREADY_INSTALLED,Ja he instal·lat el joc,Ich habe das Spiel schon installiert,I already installed the game,Ya he instalado el juego,J'ai déjà installé le jeu,Zainstalowałem już grę,Eu já instalei esse jogo
AUTO_TRANSLATION_DISCLAIMER,"La traducció automàtica es fa servir per interactuar amb la IA en l'idioma seleccionat en comptes de l'anglès.
Però no tradueix la interfície!","Die automatische Übersetzung wird dazu verwendet, an Stelle von Englisch, mit der ausgewählten Sprache mit der KI zu interagieren. Sie übersetzt nicht das Interface!","The automatic translation is used to interact with the AI with the selected language instead of English.
It doesn't translate the interface!","La traducción automática se usa para interactuar con la IA en el idioma seleccionado en vez del inglés.
¡Pero no traduce la interfaz!","La traduction automatique est utilisée pour interagir avec l'IA dans la langue sélectionnée au lieu de l'anglais.
Ça ne traduit pas l'interface !","Automatyczne tłumaczenie jest używane do interakcji z AI w wybranym języku zamiast Angielskiego.
Nie tłumaczy ono interfejsu!",A tradução automática é usada para interagir com a IA com a linguagem selecionada ao invés de inglês
CANCEL,Cancel·lar,Abbrechen,Cancel,Cancelar,Annuler,Anuluj,Cancelar
CHARACTER_POPUP_INFO,"Per generar un atribut, el joc llança 3 daus de 6 i multiplica el resultat per 5.
Per tant, un atribut pot estar entre 15 i 90.
Quan fas una acció, el resultat no ha de superar 100. El resultat és exitós és inferior al teu atribut. Com més a prop sigui de l'1, millor resultat. Un 1 és un crític.","Um ein Attribut zu erzeugen, würfelt das Spiel mit 3 6er-Würfeln und multipliziert das Ergebnis mit 5.
Daher kann ein Attribut zwischen 15 und 90 liegen.
Wenn Sie eine Aktion versuchen, wird ein 100er Würfel geworfen. Das Ergebnis ist ein Erfolg, wenn Sie eine Zahl unter Ihrem Attributwert würfeln.
Je näher das Ergebnis an 1 ist, desto besser der Erfolg. 1 Ist ein kritischer Erfolg.","To generate an attribute, the game rolls 3 dice of 6 and multiplies the result by 5.
Therefore, an attribute can be between 15-90.
When you try an action you must roll on 100. The result is a success if you roll under your attribute score.
The closer to 1, the better the result. 1 is a critical success.","Para generar un atributo, el juego lanza 3 dados de 6 y multiplica el resultado por 5.
Por lo tanto, un atributo puede estar entre 15 y 90.
Cuando realizas una acción, el resultado no debe estar por encima de 100. El resultado es exitoso si es menor que tu atributo.
Cuanto más cerca esté del 1, mejor resultado. Un 1 es un crítico.","Pour générer un attribut, le jeu lance 3 dés de 6 et multiplie le résultat par 5.
Par conséquent, un attribut peut être entre 15-90.
Lorsque vous essayez une action, vous devez lancer un dé 100. Le résultat est un succès si il est sous votre score d'attribut.
Le plus proche de 1, le mieux. 1 est un succès critique.","Aby wygenerować atrybut, gra rzuca 3 kośćmi 6 ściennymi i mnoży wynik przez 5.
Dlatego wynik może być w przedziale 15-90.
Kiedy próbujesz wykonać akcję musisz rzucić 100. Akcja kończy się sukcesem jeśli rzucisz wynik mniejszy niż punkty atrybutu.
Im bliżej do 1, tym lepszy rezultat. 1 to wielki sukces.","Para gerar um atributo, o jogo rola 3 dados de 6 e multiplica o resultado por 5.
Logo, um atributo pode estar entre 15-90. Quando você tenta uma ação você deve rolar em 100. O resultado será sucesso se rolar abaixo do seu atributo
Quanto mais perto de 1, melhor o resultado. 1 é um sucesso crítico."
CHARACTER_POPUP_INFO_TITLE,Com funciona?,Wie funktioniert es?,How does it work?,¿Cómo funciona?,Comment ça marche?,Jak to działa?,Como isso funciona?
CHARISMA,Carisma,Charisma,Charisma,Carisma,Charisme,Charyzma,Carisma
CLOSE,Tancar,Schließen,Close,Cerrar,Fermer,Zamknij,Fechar
CONFIRMATION_DIALOG_TITLE,Confirma si us plau…,Bitte bestätigen...,Please confirm...,Confirma por favor…,Veuillez confirmer...,Proszę potwierdzić…,Por favor confirmar…
CONSOLE,,Konsole,Console,,Console,Konsola,
CONSTITUTION,Constitució,Konstitution,Constitution,Constitución,Constitution,Konstytucja,Constituição
CONTEXT_MAX_LENGTH,Longitud màxima del context,Maximale Kontextlänge,Context max length,Longitud máxima del contexto,Taille max du contexte,Maksymalna długość kontekstu,Tamanho máximo do contexto
CONTEXT_MAX_LENGTH_HINT,"Quants caràcters, prèviament generats, hauria de recordar la IA?",Wie viele zuvor generierte Zeichen muss sich die KI merken?,How many previously generated characters the AI must remember.,¿Cuántos caracteres generados previamente debería recordar la IA?,Combien de caractères précédemment générés l'IA doit-elle se rappeler?,Jak wiele poprzednio wygenerowanych liter musi pamiętać AI.,Quantos caracteres gerados anteriormente a IA deve lembrar.
CRITICAL_FAIL_PREFIX,fracassa patèticament,auf erbärmliche Art und Weise,pathetically fail to,fracasa patéticamente,échoues pathétiquement à,żałośnie nie udało się,falha pateticamente em
CRITICAL_SUCCESS_PREFIX,perfectament,perfekt,perfectly,perfectamente,réussis à la perfection à,perfekcyjnie,perfeitamente
CUSTOM_MODEL,Model personalitzat,Benutzerdefiniertes Modell,Custom model,Modelo personalizado,Model personnalisé,Niestandardowy model,Modelo customizado
CUSTOM_SCENARIOS,Escenaris personalitzats,Benutzerdefinierte Szenarien,Custom scenarios,Escenarios personalizados,Scénarios personnalisés,Niestandardowe scenariusze,Cenários customizados
CUSTOM_START,Inici personalitzat,Benutzerdefinierter Start,Custom start,Comienzo personalizado,Départ personalisé,Niestandardowy początek,Inicio customizado
DELETE,Esborrar,Löschen,Delete,Borrar,Supprimer,Usuń,Deletar
DELETE_CONFIRMATION,Segur que ho vols esborrar?,"Sind Sie sicher, dass Sie das löschen möchten?",Are you sure you want to delete it?,¿Seguro que lo quieres borrar?,Êtes-vous sûr de vouloir supprimer?,Jesteś pewny że chcesz to usunąć?,Você tem certeza que quer deletar?
DESCRIPTION,,Beschreibung,Description,,Description,Opis,
DEXTERITY,Destresa,Geschicklichkeit,Dexterity,Destreza,Dextérité,Zręczność,Destreza
DISPLAY_ADVANCED_OPTIONS,Mostrar les opcions avançades,Erweiterte Optionen anzeigen,Display advanced options,Mostrar las opciones avanzadas,Afficher les options avancées,Wyświetl zaawansowane opcje,Mostrar opções avançadas
DISPLAY_ONLY_PNG,,Es werden nur PNG Dateien angezeigt.,Only PNG are displayed.,,Seulement les PNG sont affichés.,Tylko PNG są wyświetlane,
DOWNLOAD,,Herunterladen,Download,,Télécharger,Pobierz,
DOWNLOAD_DIALOG_LABEL,"Si us plau, espera que acabi la baixada.","Bitte warten Sie, bis der Download abgeschlossen ist.",Please wait until the download is done.,"Por favor, espera a que termine la descarga.",Veuillez attendre que le téléchargement soit terminé.,Proszę poczekać zanim pobieranie się skończy.,Por favor aguarde até o download finalizar
DOWNLOAD_TRANSLATOR_CONFIRMATION,Vols baixar els traductors?,Möchten Sie die Übersetzer herunterladen?,Do you want to download the translators?,¿Quieres descargar los traductores?,Voulez vous télécharger les traducteurs?,Czy chcesz pobrać tłumaczy?,Você quer baixar os tradutores?
DOWNLOAD_TRANSLATOR_WARNING,"Necessites baixar els traductors per activar la traducció automàtica.
Si uses un servidor remot, no et cal descarregar-los.","Sie müssen die Übersetzer herunterladen, um die automatische Übersetzung zu verwenden.
Falls Sie einen Remote Server vewenden, müssen Sie die Übersetzer nicht herunterladen.","You need to download the translators in order to enable the automatic translation.
If you are using a remote server, you don't have to download the translators.","Necesitas descargar los traductores para activar la traducción automática.
Si estás usando un servidor remoto, no necesitas descargarlos.","Vous devez télécharger les traducteurs pour activer la traduction automatique.
Si vous utilisez un serveur distant, vous n’avez pas à télécharger les traducteurs.","Musisz pobrać tłumaczy aby włączyć automatyczne tłumaczenie.
Jeśli używasz serwera zdalnego, nie musisz pobierać tłumaczy.","Você precisa baixar os tradutores para habilitar a tradução automática.
Se estiver usando um servidor remoto, não precisa baixar os tradutores."
DO_SAMPLE_HINT,"Activar la selecció aleatòria de la paraula següent.
Això limita la repetició.","Aktivieren Sie die zufällige Auswahl des nächsten Wortes.
Dadurch werden Wiederholungen begrenzt.","Enable randomly picking the next word.
It limits the repetition.","Activar la selección aleatoria de la siguiente palabra.
Esto limita la repetición.","Permet de choisir au hasard le mot suivant.
Ça limite la répétition.","Włącz losowe dobieranie kolejnego wyrazu.
Eliminuje powtarzalność.","Permite escolher randomicamente a próxima palavra.
Isso limita a repetição."
EDIT,Modificar,Bearbeiten,Edit,Editar,Modifier,Edytuj,Editar
EDIT_BAR_ASK_GENERATION,Tornar a generar,Nächste Generation fragen,Ask another generation,Volver a generar,Demander une autre génération,Poproś o nową generację,Pedir outra geração
EDIT_BAR_NEXT,Següent,Nächste,Next,Siguiente,Suivant,Dalej,Próximo
EDIT_BAR_PREVIOUS,Anterior,Vorherige,Previous,Anterior,Précédent,Wstecz,Anterior
EDIT_BAR_VALIDATE,Acceptar,Bestätigen,Validate,Aceptar,Valider,Potwierdź,Validar
ENABLE_AUTO_TRANSLATION,Activar la traducció automàtica,Automatische Übersetzung aktivieren,Enable the automatic translation,Activar la traducción automática,Activer la traduction automatique,Włącz automatyczne tłumaczenie,Habilitar a tradução automática
END_DEMO_MESSAGE,"Gràcies per jugar a la demo d'Aidventure!
Has arribat al final.
Compra el joc per continuar aquesta aventura.","Vielen Dank, dass Sie die Demo von AIdventure gespielt haben!
Sie haben das Limit erreicht.
Kaufen Sie das Spiel, um dieses Abenteuer fortzusetzen.","Thank you for playing AIdventure's demo!
You reached the limit.
Buy the game to continue this adventure.","¡Gracias por jugar a la demo de Aidventure!
Has llegado al final.
Compra el juego para continuar esta aventura.","Merci d'avoir joué à la démo d'AIdventure !
Vous avez atteint la limite.
Achetez le jeu pour continuer cette aventure.","Dzięki za granie w demo Aideventure!
Właśnie osiągnąłeś limit.
Zakup pełną wersję gry aby kontynuować swoją przygodę.","Obrigado por jogar a demo de AIdventure!
Você atingiu o limite.
Compre o jogo para continuar essa aventura."
ENTRY,,Eintrag,Entry,,Entrée,Wpis,
ERROR_POPUP_CLIPBOARD,Copiar els registres al porta-retalls,Protokolle in die Zwischenablage kopieren,Copy logs to clipboard,Copiar los registros en el portapapeles,Copier les logs dans le presse-papiers,Skopiuj logi do schowka,Copiar logs para a área de transferência
ERROR_POPUP_REPORT,Reporta l'error a Discord o al fòrum,Fehler auf Discord oder im Forum melden,Report the error on Discord or the forum,Reporta el error en Discord o en el foro,Signaler l'erreur sur Discord ou sur le forum,Zgłoś błąd na Discordzie lub na forum,Reportar um erro no Discord ou fórum
ERROR_POPUP_TITLE,Hi ha hagut un error!,Es ist ein Fehler aufgetreten!,An error occured!,¡Ha ocurrido un error!,Une erreur est survenue,Wystąpił błąd,Ocorreu um erro!
ESCAPE_MENU_EDIT_STORY,Modificar la història,Geschichte bearbeiten,Edit the story,Modificar la historia,Modifier l'histoire,Edytuj historię,Editar a historia
EXPORT,Exportar,exportieren,Export,Exportar,Exporter,Eksportuj,Exportar
EXTREME_SUCCESS_PREFIX,competentment,auf kompetente Art und Weise,competently,competentemente,réussis avec compétence à,umiejętnie,competentemente
FAILED_UPLOAD_TO_WORKSHOP,,Das Hochladen in den Workshop ist fehlgeschlagen.,Uploading to the Workshop failed.,,L'envoi vers le Workshop a échoué.,Przesyłanie do Warsztatu nie powiodło się,
FIRST_PERSON_PRONOUN,Jo,Ich,I,Yo,Je,Ja,Eu
FONT,Tipus de lletra,Schriftart,Font,Tipo de letra,Police,Czcionka,Fonte
FONT_COLOR,Color de la lletra,Schriftfarbe,Font color,Color de la letra,Couleur de la police,Kolor czcionki,Cor da fonte
FONT_SIZE,Mida de la lletra,Schriftgröße,Font size,Tamaño de la letra,Taille de la police,Rozmiar czcionki,Tamanho da fonte
FORUM,Fòrum,Forum,Forum,Foro,Forum,Forum,Fórum
FRIENDS_ONLY,,Nur Freunde,Friends only,,Amis seulement,Tylko znajomi,
GENERATION_MAX_LENGTH,Longitud màxima de la generació,Maximal generierte länge,Generation's max length,Longitud máxima de la generación,Taille max de la génération,Maksymalna długość generacji,Tamanho máximo da geração
GENERATION_MAX_LENGTH_HINT,Màxim de paraules a generar,Die maximal zu generierenden Wörter.,The maximum words to be generated.,Máximo de palabras a generar,Le nombre maximum de mots à générer.,Maksymalna ilość wyrazów do wygenerowania.,O máximo de palavras a serem geradas
IMPORT,Importar,importieren,Import,Importar,Importer,Importuj,Importar
INCOMPATIBLE_MEMORY_ACCEPT,Sí! Canviar l'opció,Ja! Änderung Übernehmen.,Yes! Change the option,¡Sí! Cambiar la opción,Oui! Changer l'option,Tak! Zmień tę opcję,Sim! Mude a opção
